brand,model,description,image_url,created_at,id
CHEVROLET,CLASSIC,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,3d460742-3174-4a81-8c88-65587cf6dcbb
CHEVROLET,MONTANA PICK - UP,"Fijo 2 botones ",https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-2-400x400.png,,e5f4cd2f-993d-4dae-b884-d7e17219cf7f
CHEVROLET,TRACKER,Flip 2 botones,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04A-01-750x750-1-600x600.jpg,,cf0c775b-f5ba-4443-b6df-e181ce6c899e
CHEVROLET,CLASSIC,,,,ec01937f-e37e-4ce4-b590-548b784f7ed4
CHEVROLET,S-10 PICK - UP,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,ebf61769-c332-4de8-9ca4-6697d695ed65
CHEVROLET,BLAZER,"Fijo 2 botones ",https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-2-400x400.png,,cfa20b88-4547-40ff-b39e-9bb843a62282
CHEVROLET,ONIX,Flip 3 botones linea nueva con baul,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210721-151449-600x745.jpg,,9db450dd-2816-4511-922d-5c4d7c60f1fb
CHEVROLET,ASTRA,"Fijo 2 botones ",https://www.transkey.com/wp-content/uploads/2024/09/LLAVES-2-400x400.png,,9bbf0141-cada-440b-b8f5-8cd5bbe139b8
CHEVROLET,ASTRA,"Fijo 3 botones ",https://www.transkey.com/wp-content/uploads/2024/09/33-400x400.png,,9ae576bb-3e01-4816-960f-dd9a65907790
CHEVROLET,MERIVA,,,,9a3357ac-3359-4d41-ac37-9f73a7e344f1
CHEVROLET,ONIX,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,b9bb06f9-4bbb-4a50-9313-fc731a7bb2ec
CHEVROLET,CRUZE,Flip 3 botones linea nueva,https://www.transkey.com/wp-content/uploads/2021/07/PhotoRoom-20210721-151449-600x745.jpg,,a91589c2-c73a-4840-b114-b2810d191257
CHEVROLET,AVEO,,,,99f7edc1-aff3-44ab-9db6-1f5021f9919a
CHEVROLET,CRUZE,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,bca67be0-7eab-46ff-8157-daf13976a8f4
CHEVROLET,CELTA,,,,a767aacc-a40b-4b89-8633-86366a77c059
CHEVROLET,SPIN,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,c1ae4b9d-8ea5-44ca-81cc-e409be580d2a
CHEVROLET,SPARK,,,,fd33ea12-54ad-4393-b215-46eb9650f802
CHEVROLET,CAPTIVA,,,,1557a742-d01e-4448-abbe-c8d862eee659
CHEVROLET,SONIC,Flip 3 botones con baul,https://www.transkey.com/wp-content/uploads/2024/09/Chevrolet-R04B-01-750x750-1.jpg,,957d5ebf-3014-494f-ae3c-21ca35cac92e
